2021년 03월 11일 00시,서울,강남구,연세대학교강남세브란스병원,서울특별시 강남구 언주로211,B,02-2019-2114
2021년 03월 11일 00시,서울,강동구,중앙보훈병원,서울특별시 강동구 진황도로 61길 53,B,02-2225-1111
2021년 03월 11일 00시,서울,강동구,강동성심병원,서울특별시 강동구 성안로 150,A,1588-4100
2021년 03월 11일 00시,서울,강동구,강동경희대학교병원,서울특별시 강동구 동남로 892,B,02-440-8114
2021년 03월 11일 00시,서울,강서구,이화여자대학교서울병원,서울특별시 강서구 공항대로260,B,1522-7000
2021년 03월 11일 00시,서울,관악구,에이치플러스양지병원,서울특별시 관악구 남부순환로1636,A,02-1877-8875
2021년 03월 11일 00시,서울,광진구,건국대학교병원,서울특별시 광진구 능동로 120-1,B,02-1588-1533
2021년 03월 11일 00시,서울,광진구,혜민병원,서울특별시 광진구 자양로 85,A,02-2049-9000
2021년 03월 11일 00시,서울,구로구,고려대학교구로병원,서울특별시 구로구 구로동로 148,B,02-2626-1114
2021년 03월 11일 00시,서울,구로구,구로성심병원,서울특별시 구로구 경인로 427,A,02-2067-1500
2021년 03월 11일 00시,서울,구로구,우리아이들병원,서울특별시 구로구 새말로15,A,02-858-0100
2021년 03월 11일 00시,서울,금천구,희명병원,서울특별시 금천구 시흥대로 244,B,02-804-0002
2021년 03월 11일 00시,서울,노원구,인제대학교 상계백병원,서울특별시 노원구 동일로1342,A,02-950-1114
2021년 03월 11일 00시,서울,노원구,노원을지대학교병원,서울특별시 노원구 한글비석로 68,A,02-970-8000
2021년 03월 11일 00시,서울,노원구,한국원자력의학원원자력병원,서울특별시 노원구 노원로 75,A,02-970-2114
2021년 03월 11일 00시,서울,도봉구,한일병원,서울특별시 도봉구 우이천로 308,A,02-901-3114
2021년 03월 11일 00시,서울,동대문구,삼육서울병원,서울특별시 동대문구 망우로82,B,02-1577-3675
2021년 03월 11일 00시,서울,동대문구,경희대학교병원,서울특별시 동대문구 경희대로23,B,02-958-8114
2021년 03월 11일 00시,서울,동대문구,서울성심병원,서울특별시 동대문구 왕산로259,A,02-966-1616
2021년 03월 11일 00시,서울,동작구,중앙대학교병원,서울특별시 동작구 흑석로102,B,02-6299-1114
2021년 03월 11일 00시,서울,동작구,서울특별시보라매병원,서울특별시 동작구 보라매로 5길 20,A,02-870-2114
2021년 03월 11일 00시,서울,서대문구,연세대학교신촌세브란스병원,서울특별시 서대문구 연세로 50-1,B,02-1599-1004
2021년 03월 11일 00시,서울,서대문구,동신병원,서울특별시 서대문구 연희로 272,A,02-396-9161
2021년 03월 11일 00시,서울,서초구,가톨릭대학교 서울성모병원,서울특별시 서초구 반포대로 222,B,02-1588-1511
2021년 03월 11일 00시,서울,성동구,한양대학교병원,서울특별시 성동구 왕십리로222-1,B,02-2290-8114
2021년 03월 11일 00시,서울,성북구,고려대학교안암병원,서울특별시 성북구 인촌로 73,B,1577-0083
2021년 03월 11일 00시,서울,성북구,성북우리아이들병원,서울특별시 성북구 동소문로46길10,A,02-912-0100
2021년 03월 11일 00시,서울,송파구,경찰병원,서울특별시 송파구 송이로123,A,02-3400-1114
2021년 03월 11일 00시,서울,양천구,이화여자대학교목동병원,서울특별시 양천구 안양천로 1071,B,02-2650-5114
2021년 03월 11일 00시,서울,양천구,홍익병원,서울특별시 양천구 목동로 225,A,02-2693-5555
2021년 03월 11일 00시,서울,양천구,메디힐병원,서울특별시 양천구 남부순환로 331,A,02-2604-7551
2021년 03월 11일 00시,서울,영등포구,가톨릭대학교 여의도성모병원,서울특별시 영등포구 63로 10,B,1661-7575
2021년 03월 11일 00시,서울,영등포구,한림대학교 강남성심병원,서울특별시 영등포구 신길로1,B,02-829-5114
2021년 03월 11일 00시,서울,영등포구,성애병원,서울특별시 영등포구 여의대방로53길 22,A,1811-8114
2021년 03월 11일 00시,서울,용산구,순천향대학교부속서울병원,서울특별시 용산구 대사관로 59,B,02-709-9114
2021년 03월 11일 00시,서울,은평구,은평성모병원,서울특별시 은평구 통일로 1021,B,1811-7755
2021년 03월 11일 00시,서울,은평구,청구성심병원,서울특별시 은평구 통일로 873,B,02-353-5511~9
2021년 03월 11일 00시,서울,종로구,서울대학교병원,서울특별시 종로구 대학로101,B,02-1588-5700
2021년 03월 11일 00시,서울,종로구,강북삼성병원,서울특별시 종로구 새문안로29,B,02-2001-2001
2021년 03월 11일 00시,서울,종로구,서울적십자병원,서울특별시 종로구 새문안로 9,A,02-2002-8000
2021년 03월 11일 00시,서울,종로구,세란병원,서울특별시 종로구 통일로 256,A,02-737-0181
2021년 03월 11일 00시,서울,중구,인제대학교 서울백병원,서울특별시 중구 마른내로9,A,02-2270-0114
2021년 03월 11일 00시,서울,중구,국립중앙의료원,서울특별시 중구 을지로 245,A,02-2260-7114
2021년 03월 11일 00시,서울,중랑구,동부제일병원,서울특별시 중랑구 망우로511,A,02-437-5011
2021년 03월 11일 00시,서울,중랑구,녹색병원,서울특별시 중랑구 사가정로 49길 53,A,02-490-2000
2021년 03월 11일 00시,서울,중랑구,서울특별시서울의료원,서울특별시 중랑구 신내로 156,B,02-2276-7000
2021년 03월 11일 00시,부산,강서구,행복한어린이병원,부산광역시 강서구 명지국제1로25 8~10층,A,051-264-9500
2021년 03월 11일 00시,부산,강서구,명지아동병원,부산광역시 강서구 명지국제8로 240 4층,A,051-717-0230
2021년 03월 11일 00시,부산,기장군,기장병원,부산광역시 기장군 기장읍 대청로72번길 6,A,051-723-0171
2021년 03월 11일 00시,부산,남구,부산성모병원,부산광역시 남구 용호로 232번길 25-14,A,051-933-7114
2021년 03월 11일 00시,부산,동구,김원묵기념봉생병원,부산광역시 동구 중앙대로 401,A,051-664-4000
2021년 03월 11일 00시,부산,동구,좋은문화병원,부산광역시 동구 범일로119,A,051-644-2002
2021년 03월 11일 00시,부산,동래구,대동병원,부산광역시 동래구 충렬대로 187,A,051-554-1233
